ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),Offset_X,Offset_Y,Trial_ID,Image_Win1,Image_Win2,Score
0,23,Male,60,50,70,-62,-221,1,16cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,70,-62,-221,2,2cpd_15nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,70,-62,-221,3,4cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,5
0,23,Male,60,50,70,-62,-221,4,16cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,5
0,23,Male,60,50,70,-62,-221,5,16cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,3
0,23,Male,60,50,70,-62,-221,6,16cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,5
0,23,Male,60,50,70,-62,-221,7,2cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,3
0,23,Male,60,50,70,-62,-221,8,8cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,9,4cpd_5nit_1.0.png,2cpd_5nit_1.0_v.png,3
0,23,Male,60,50,70,-62,-221,10,4cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,70,-62,-221,11,8cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,70,-62,-221,12,2cpd_15nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,70,-62,-221,13,16cpd_15nit_1.0.png,2cpd_5nit_0.6_v.png,2
0,23,Male,60,50,70,-62,-221,14,4cpd_15nit_1.0.png,4cpd_50nit_0.6_v.png,4
0,23,Male,60,50,70,-62,-221,15,8cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,4
0,23,Male,60,50,70,-62,-221,16,8cpd_15nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,70,-62,-221,17,2cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,70,-62,-221,18,16cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,5
