Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-02-16 15:48:24,100,254,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,90,242,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,80,230,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,70,216,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,60,201,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,50,185,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,40,167,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,30,146,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,20,121,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,10,87,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 15:48:24,0,0,-0.5454545454545454,2.2,100.0,0.0
2026-02-16 16:05:56,100,248,-6.0,2.2,100.0,0.0
2026-02-16 16:05:56,90,237,-5.0,2.2,100.0,0.0
2026-02-16 16:05:56,80,221,-7.0,2.2,100.0,0.0
2026-02-16 16:05:56,70,207,-7.0,2.2,100.0,0.0
2026-02-16 16:05:56,60,191,-7.0,2.2,100.0,0.0
2026-02-16 16:05:56,50,176,-6.0,2.2,100.0,0.0
2026-02-16 16:05:56,40,156,-6.0,2.2,100.0,0.0
2026-02-16 16:05:56,30,138,-4.0,2.2,100.0,0.0
2026-02-16 16:05:56,20,114,-3.0,2.2,100.0,0.0
2026-02-16 16:05:56,10,81,-2.0,2.2,100.0,0.0
2026-02-16 16:05:56,0,0,-0.0,2.2,100.0,0.0
