ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),BG_Brightness(cd/m^2),FG_Brightness(cd/m^2),Offset_X,Offset_Y,Trial_ID,Image_Win1,Image_Win2,Score
0,23,Male,60,50,70,136.45,118.07,-28,-132,1,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,2,4cpd.png,4cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,3,2cpd.png,2cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,4,4cpd.png,4cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,5,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,6,2cpd.png,2cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,7,4cpd.png,4cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,8,4cpd.png,4cpd_h.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,9,4cpd.png,4cpd_h.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,10,4cpd.png,4cpd_h.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,11,2cpd.png,2cpd_h.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,12,4cpd.png,4cpd_h.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,13,4cpd.png,4cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,14,2cpd.png,2cpd_v.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,15,4cpd.png,4cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,16,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,17,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,18,4cpd.png,4cpd_h.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,19,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,20,2cpd.png,2cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,21,2cpd.png,2cpd_v.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,22,2cpd.png,2cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,23,2cpd.png,2cpd_h.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,24,4cpd.png,4cpd_h.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,25,2cpd.png,2cpd_v.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,26,2cpd.png,2cpd_v.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,27,4cpd.png,4cpd_v.png,2
0,23,Male,60,50,70,136.45,118.07,-28,-132,28,4cpd.png,4cpd_h.png,5
0,23,Male,60,50,70,136.45,118.07,-28,-132,29,4cpd.png,4cpd_v.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,30,2cpd.png,2cpd_h.png,3
0,23,Male,60,50,70,136.45,118.07,-28,-132,31,4cpd.png,4cpd_v.png,4
0,23,Male,60,50,70,136.45,118.07,-28,-132,32,4cpd.png,4cpd_v.png,4
