bg,fg,X,Y,Z
0.0,0.0,0.4194626558,0.3,1.581264974
0.0,10.0,9.733170325,10.2,14.87611251
0.0,15.0,14.69260623,15.6,21.32820027
0.0,20.0,20.00673897,21.15,28.7087957
0.0,30.0,29.68327104,31.55,42.53435342
10.0,0.0,9.905811895,10.3,15.17498701
10.0,10.0,19.20680627,20.15,28.452269
10.0,15.0,24.11107747,25.45,34.69602928
10.0,20.0,29.40600088,31.05,42.11132912
10.0,30.0,39.01358994,41.35,55.72661998
15.0,0.0,14.55444955,15.15,22.53681797
15.0,10.0,23.88853847,25,35.65775387
15.0,15.0,28.85168523,30.35,42.09686169
15.0,20.0,34.14327374,35.95,49.47787001
15.0,30.0,43.61060569,46.2,63.06137981
20.0,0.0,19.44391964,20,30.44914573
20.0,10.0,28.68958289,29.85,43.5666778
20.0,15.0,33.56104785,35.15,50.04901656
20.0,20.0,38.96000985,40.8,57.48719689
20.0,30.0,48.58344531,51.15,71.16613516
30.0,0.0,28.60398829,29.7,44.53205603
30.0,10.0,37.99488017,39.6,57.70332077
30.0,15.0,42.82598918,44.95,64.14289241
30.0,20.0,48.17728931,50.65,71.64109225
30.0,30.0,57.81518316,60.95,85.25599708
