channel,pixel,Y,x,y
R,255,7.6,0.6262,0.3286
R,224,6.0,0.6252,0.3254
R,192,4.5,0.6120,0.3234
R,160,3.1,0.5994,0.3220
R,128,2.0,0.5821,0.3121
R,96,1.2,0.5610,0.3136
R,64,0.6,0.4577,0.2794
R,32,0.4,0.4144,0.2956
R,0,0.2,0.2669,0.2231
G,255,32.9,0.3039,0.6236
G,224,25.7,0.3044,0.6231
G,192,18.9,0.3028,0.6193
G,160,12.8,0.3025,0.6125
G,128,8.0,0.3008,0.5961
G,96,4.3,0.2981,0.5703
G,64,2.0,0.2808,0.5525
G,32,1.1,0.2835,0.4611
G,0,0.2,0.3421,0.2055
B,255,3.5,0.1555,0.0453
B,224,2.8,0.1564,0.0463
B,192,2.2,0.1557,0.0471
B,160,1.6,0.1568,0.0498
B,128,1.1,0.1587,0.0533
B,96,0.7,0.1562,0.0626
B,64,0.4,0.1677,0.0780
B,32,0.3,0.1976,0.1025
B,0,0.2,0.2735,0.2061
