Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-06-24 10:57:59,30,203,-11.8,2.2,30.0,0.0
2026-06-24 10:57:59,25,186,-10.099999999999998,2.2,30.0,0.0
2026-06-24 10:57:59,20,166,-8.299999999999999,2.2,30.0,0.0
2026-06-24 10:57:59,15,144,-6.5,2.2,30.0,0.0
2026-06-24 10:57:59,10,116,-4.699999999999999,2.2,30.0,0.0
2026-06-24 10:57:59,8,105,-3.7,2.2,30.0,0.0
2026-06-24 10:57:59,6,92,-2.8000000000000007,2.2,30.0,0.0
2026-06-24 10:57:59,4,73,-2.100000000000001,2.2,30.0,0.0
2026-06-24 10:57:59,2,52,-1.0999999999999999,2.2,30.0,0.0
2026-06-24 10:57:59,0,0,-0.30000000000000004,2.2,30.0,0.0
