Y,pxR,pxG,pxB
1.500000000000000000e+01,3.473582439562212243e-01,4.032029916457050001e-01,4.569119591301046279e-01
1.502932551319648091e+01,3.476450346114622891e-01,4.035147029764511450e-01,4.572520611701695326e-01
1.505865102639296182e+01,3.479318252667033540e-01,4.038264143071972345e-01,4.575921632102344372e-01
1.508797653958944274e+01,3.482186159219444188e-01,4.041381256379433795e-01,4.579322652502993418e-01
1.511730205278592365e+01,3.485054065771854837e-01,4.044498369686894690e-01,4.582723672903642465e-01
1.514662756598240456e+01,3.487921972324265485e-01,4.047615482994356140e-01,4.586124693304291511e-01
1.517595307917888547e+01,3.490789878876676133e-01,4.050732596301817035e-01,4.589525713704940557e-01
1.520527859237536639e+01,3.493657785429086782e-01,4.053849709609278484e-01,4.592926734105589603e-01
1.523460410557184730e+01,3.496525691981497430e-01,4.056966822916739379e-01,4.596327754506238650e-01
1.526392961876832821e+01,3.499393598533908079e-01,4.060083936224200829e-01,4.599728774906887696e-01
1.529325513196480912e+01,3.502261505086318727e-01,4.063201049531661724e-01,4.603129795307536742e-01
1.532258064516129004e+01,3.505129411638728820e-01,4.066318162839123174e-01,4.606530815708185789e-01
1.535190615835777095e+01,3.507997318191139469e-01,4.069435276146584068e-01,4.609931836108834835e-01
1.538123167155425186e+01,3.510865224743550117e-01,4.072552389454045518e-01,4.613332856509483881e-01
1.541055718475073277e+01,3.513733131295960765e-01,4.075669502761506413e-01,4.616733876910132928e-01
1.543988269794721369e+01,3.516601037848371414e-01,4.078786616068967863e-01,4.620134897310781974e-01
1.546920821114369460e+01,3.519468944400782062e-01,4.081903729376428758e-01,4.623535917711431020e-01
1.549853372434017551e+01,3.522336850953192711e-01,4.085020842683890208e-01,4.626936938112080067e-01
1.552785923753665642e+01,3.525204757505603359e-01,4.088137955991351102e-01,4.630337958512729113e-01
1.555718475073313734e+01,3.528072664058014007e-01,4.091255069298812552e-01,4.633738978913378159e-01
1.558651026392961825e+01,3.530940570610424656e-01,4.094372182606273447e-01,4.637139999314027206e-01
1.561583577712609916e+01,3.533808477162835304e-01,4.097489295913734897e-01,4.640541019714676252e-01
1.564516129032258007e+01,3.536676383715245953e-01,4.100606409221195792e-01,4.643942040115325298e-01
1.567448680351906098e+01,3.539544290267656601e-01,4.103723522528657242e-01,4.647343060515974345e-01
1.570381231671554190e+01,3.542412196820067249e-01,4.106840635836118136e-01,4.650744080916623391e-01
1.573313782991202281e+01,3.545280103372477898e-01,4.109957749143579586e-01,4.654145101317272437e-01
