channel,v,yn
R,0.0,0.0
R,0.12549019607843137,0.02262443438914027
R,0.25098039215686274,0.0588235294117647
R,0.3764705882352941,0.13574660633484162
R,0.5019607843137255,0.24434389140271495
R,0.6274509803921569,0.3936651583710407
R,0.7529411764705882,0.579185520361991
R,0.8784313725490196,0.7918552036199096
R,1.0,1.0
G,0.0,0.0
G,0.12549019607843137,0.017435897435897435
G,0.25098039215686274,0.0553846153846154
G,0.3764705882352941,0.12820512820512825
G,0.5019607843137255,0.24102564102564106
G,0.6274509803921569,0.3876923076923079
G,0.7529411764705882,0.5764102564102566
G,0.8784313725490196,0.7825641025641028
G,1.0,1.0
B,0.0,0.0
B,0.12549019607843137,0.03061224489795917
B,0.25098039215686274,0.06122448979591838
B,0.3764705882352941,0.15306122448979587
B,0.5019607843137255,0.26530612244897955
B,0.6274509803921569,0.4285714285714287
B,0.7529411764705882,0.6020408163265307
B,0.8784313725490196,0.7959183673469385
B,1.0,1.0
