channel,v,yn
R,0.0,0.0
R,0.12549019607843137,0.013468013468013473
R,0.25098039215686274,0.04377104377104378
R,0.3764705882352941,0.11784511784511789
R,0.5019607843137255,0.23232323232323235
R,0.6274509803921569,0.38047138047138046
R,0.7529411764705882,0.5673400673400674
R,0.8784313725490196,0.7811447811447813
R,1.0,1.0
G,0.0,0.0
G,0.12549019607843137,0.014746543778801842
G,0.25098039215686274,0.04470046082949308
G,0.3764705882352941,0.1175115207373272
G,0.5019607843137255,0.23087557603686637
G,0.6274509803921569,0.37972350230414753
G,0.7529411764705882,0.5640552995391706
G,0.8784313725490196,0.780184331797235
G,1.0,1.0
B,0.0,0.0
B,0.12549019607843137,0.00995024875621891
B,0.25098039215686274,0.04477611940298507
B,0.3764705882352941,0.11940298507462686
B,0.5019607843137255,0.23880597014925367
B,0.6274509803921569,0.39800995024875624
B,0.7529411764705882,0.5820895522388059
B,0.8784313725490196,0.7910447761194028
B,1.0,1.0
