Y,pxR,pxG,pxB
0.000000000000000000e+00,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
5.894428152492668660e-02,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
1.178885630498533732e-01,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
1.768328445747800459e-01,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
2.357771260997067464e-01,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
2.947214076246334469e-01,3.064517971791562087e-02,1.276198904798965354e-02,1.465083031483248865e-01
3.536656891495600918e-01,3.219106391849513998e-02,1.460096690418869088e-02,1.478449057667965694e-01
4.126099706744867923e-01,3.388900230273822478e-02,1.662082782821058466e-02,1.493129774952818567e-01
4.715542521994134928e-01,3.558694068698130264e-02,1.864068875223248017e-02,1.507810492237671163e-01
5.304985337243401933e-01,3.728487907122438744e-02,2.066054967625437222e-02,1.522491209522524036e-01
5.894428152492668938e-01,3.898281745546746530e-02,2.268041060027626427e-02,1.537171926807376909e-01
6.483870967741935942e-01,4.068075583971055009e-02,2.470027152429815978e-02,1.551852644092229783e-01
7.073313782991201837e-01,4.237869422395362795e-02,2.672013244832004836e-02,1.566533361377082656e-01
7.662756598240468842e-01,4.407663260819670581e-02,2.873999337234194734e-02,1.581214078661935529e-01
8.252199413489735846e-01,4.577457099243978367e-02,3.075985429636383939e-02,1.595894795946788125e-01
8.841642228739002851e-01,4.747250937668287540e-02,3.277971522038573143e-02,1.610575513231640998e-01
9.431085043988269856e-01,4.917044776092595326e-02,3.479957614440762348e-02,1.625256230516493872e-01
1.002052785923753575e+00,5.086838614516903112e-02,3.681943706842951552e-02,1.639936947801346745e-01
1.060997067448680387e+00,5.256632452941210898e-02,3.883929799245141451e-02,1.654617665086199618e-01
1.119941348973606976e+00,5.426426291365518684e-02,4.085915891647329962e-02,1.669298382371052492e-01
1.178885630498533788e+00,5.596220129789827857e-02,4.287901984049519860e-02,1.683979099655905365e-01
1.237829912023460377e+00,5.766013968214135643e-02,4.489888076451709065e-02,1.698659816940757961e-01
1.296774193548387188e+00,5.935807806638443429e-02,4.691874168853898963e-02,1.713340534225610834e-01
1.355718475073313778e+00,6.105601645062751215e-02,4.893860261256088168e-02,1.728021251510463707e-01
1.414662756598240367e+00,6.275395483487059001e-02,5.095846353658276678e-02,1.742701968795316581e-01
1.473607038123167179e+00,6.445189321911368174e-02,5.297832446060466577e-02,1.757382686080169454e-01
1.532551319648093768e+00,6.614983160335675960e-02,5.499818538462655781e-02,1.772063403365022327e-01
1.591495601173020580e+00,6.784776998759983746e-02,5.701804630864845680e-02,1.786744120649875200e-01
1.650439882697947169e+00,6.954570837184291532e-02,5.903790723267034191e-02,1.801424837934727796e-01
1.709384164222873981e+00,7.124364675608600705e-02,6.105776815669224089e-02,1.816105555219580669e-01
1.768328445747800570e+00,7.294158514032908491e-02,6.307762908071412600e-02,1.830786272504433543e-01
1.827272727272727382e+00,7.463952352457216277e-02,6.509749000473602498e-02,1.845466989789286416e-01
1.886217008797653971e+00,7.633746190881524063e-02,6.711735092875792397e-02,1.860147707074139289e-01
1.945161290322580561e+00,7.803540029305831849e-02,6.913721185277980907e-02,1.874828424358991885e-01
2.004105571847507150e+00,7.973333867730139635e-02,7.115707277680169418e-02,1.889509141643844758e-01
2.063049853372433962e+00,8.143127706154448808e-02,7.317693370082359317e-02,1.904189858928697632e-01
2.121994134897360773e+00,8.312921544578756594e-02,7.519679462484549215e-02,1.918870576213550505e-01
2.180938416422287585e+00,8.482715383003065768e-02,7.721665554886739113e-02,1.933551293498403378e-01
2.239882697947213952e+00,8.652509221427372166e-02,7.923651647288927624e-02,1.948232010783256252e-01
2.298826979472140764e+00,8.822303059851681339e-02,8.125637739691117523e-02,1.962912728068109125e-01
2.357771260997067575e+00,8.992096898275990513e-02,8.327623832093307421e-02,1.977593445352961998e-01
2.416715542521993942e+00,9.161890736700296911e-02,8.529609924495495932e-02,1.992274162637814594e-01
2.475659824046920754e+00,9.331684575124606085e-02,8.731596016897685830e-02,2.006954879922667467e-01
2.534604105571847565e+00,9.501478413548913871e-02,8.933582109299875729e-02,2.021635597207520341e-01
2.593548387096774377e+00,9.671272251973223044e-02,9.135568201702065627e-02,2.036316314492373214e-01
2.652492668621700744e+00,9.841066090397529442e-02,9.337554294104254138e-02,2.050997031777226087e-01
2.711436950146627556e+00,1.001085992882183862e-01,9.539540386506444036e-02,2.065677749062078961e-01
2.770381231671554367e+00,1.018065376724614640e-01,9.741526478908633935e-02,2.080358466346931556e-01
2.829325513196480735e+00,1.035044760567045419e-01,9.943512571310821058e-02,2.095039183631784430e-01
2.888269794721407546e+00,1.052024144409476197e-01,1.014549866371301096e-01,2.109719900916637303e-01
2.947214076246334358e+00,1.069003528251907115e-01,1.034748475611520085e-01,2.124400618201490176e-01
3.006158357771261169e+00,1.085982912094337893e-01,1.054947084851739075e-01,2.139081335486343050e-01
3.065102639296187537e+00,1.102962295936768672e-01,1.075145694091957926e-01,2.153762052771195923e-01
3.124046920821114348e+00,1.119941679779199450e-01,1.095344303332176916e-01,2.168442770056048796e-01
3.182991202346041160e+00,1.136921063621630368e-01,1.115542912572395906e-01,2.183123487340901669e-01
3.241935483870967971e+00,1.153900447464061146e-01,1.135741521812614896e-01,2.197804204625754543e-01
3.300879765395894339e+00,1.170879831306491925e-01,1.155940131052833608e-01,2.212484921910607139e-01
3.359824046920821150e+00,1.187859215148922704e-01,1.176138740293052598e-01,2.227165639195460012e-01
3.418768328445747962e+00,1.204838598991353621e-01,1.196337349533271588e-01,2.241846356480312885e-01
3.477712609970674329e+00,1.221817982833784261e-01,1.216535958773490439e-01,2.256527073765165481e-01
3.536656891495601140e+00,1.238797366676215178e-01,1.236734568013709429e-01,2.271207791050018354e-01
3.595601173020527952e+00,1.255776750518645957e-01,1.256933177253928280e-01,2.285888508334871227e-01
