Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-04-13 15:04:20,100,255,1.0,2.2,100.0,0.0
2026-04-13 15:04:20,90,244,1.0,2.2,100.0,0.0
2026-04-13 15:04:20,80,230,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,70,217,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,60,202,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,50,188,1.0,2.2,100.0,0.0
2026-04-13 15:04:20,40,168,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,30,148,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,20,125,1.0,2.2,100.0,0.0
2026-04-13 15:04:20,10,90,-0.0,2.2,100.0,0.0
2026-04-13 15:04:20,0,0,-0.0,2.2,100.0,0.0
