channel,pixel,Y,x,y
R,255,8.2,0.6168,0.3200
R,224,6.7,0.6134,0.3216
R,192,4.8,0.6116,0.3164
R,160,3.3,0.6021,0.3175
R,128,2.2,0.5834,0.3163
R,96,1.4,0.5576,0.3147
R,64,0.7,0.4792,0.2890
R,32,0.5,0.4145,0.2885
R,0,0.3,0.3039,0.2436
G,255,36.0,0.3170,0.6128
G,224,28.3,0.3164,0.6102
G,192,20.9,0.3154,0.6094
G,160,14.2,0.3143,0.6034
G,128,8.4,0.3171,0.5865
G,96,5.0,0.3135,0.5831
G,64,1.2,0.3066,0.4678
G,32,0.8,0.2779,0.4109
G,0,0.2,0.2779,0.2387
B,255,4.5,0.1551,0.0545
B,224,3.6,0.1551,0.0551
B,192,2.8,0.1548,0.0557
B,160,2.1,0.1566,0.0566
B,128,1.4,0.1531,0.0598
B,96,0.9,0.1600,0.0647
B,64,0.5,0.1634,0.0807
B,32,0.4,0.1688,0.0896
B,0,0.2,0.2140,0.2278
