channel,pixel,Y,x,y
R,255,23.6,0.6456,0.3313
R,224,17.6,0.6438,0.3311
R,192,12.4,0.6413,0.3305
R,160,8.3,0.6381,0.3288
R,128,5.1,0.6260,0.3286
R,96,2.7,0.6083,0.3198
R,64,1.2,0.5564,0.3065
R,48,0.8,0.5150,0.2876
R,32,0.5,0.4260,0.2845
R,16,0.3,0.3275,0.2584
R,0,0.2,0.2554,0.2331
G,255,90.4,0.3187,0.6238
G,224,66.9,0.3181,0.6229
G,192,46.5,0.3185,0.6221
G,160,30.3,0.3174,0.6186
G,128,18.1,0.3171,0.6138
G,96,9.5,0.3158,0.6024
G,64,3.9,0.3066,0.5731
G,48,2.1,0.2980,0.5247
G,32,1.1,0.2662,0.4684
G,16,0.5,0.2984,0.3448
G,0,0.2,0.2571,0.2080
B,255,6.3,0.1528,0.0520
B,224,4.8,0.1532,0.0529
B,192,3.4,0.1527,0.0535
B,160,2.4,0.1533,0.0548
B,128,1.5,0.1541,0.0574
B,96,0.9,0.1507,0.0636
B,64,0.5,0.1638,0.0804
B,48,0.4,0.1819,0.0958
B,32,0.3,0.1743,0.1349
B,16,0.2,0.2157,0.1695
B,0,0.2,0.2239,0.2677
W,255,122,0.3276,0.3521
W,224,93.2,0.3276,0.3521
W,192,67.1,0.3279,0.3522
W,160,45.3,0.3271,0.3517
W,128,27.2,0.3271,0.3499
W,96,13.9,0.3272,0.3498
W,64,5.5,0.3239,0.3436
W,48,3,0.3267,0.3474
W,32,1.4,0.3103,0.3324
W,16,0.6,0.3182,0.2672
W,0,0.2,0.3037,0.2532
