bg,fg,Y,x,y
0,0,0.2,0.2501,0.2371
0,5,5.3,0.2771,0.2947
0,10,10.1,0.2737,0.2842
0,15,15.3,0.2777,0.2864
0,20,20.1,0.2751,0.2843
0,25,25.2,0.2758,0.2852
0,30,30.3,0.2762,0.2849
15,0,15.6,0.2835,0.2998
15,5,20.7,0.2834,0.2987
15,10,25.5,0.2804,0.2933
15,15,30.6,0.2804,0.2938
15,20,35.5,0.2788,0.2914
15,25,40.6,0.2787,0.2912
15,30,45.7,0.2790,0.2901
30,0,31.0,0.2822,0.2944
30,5,36.1,0.2825,0.2942
30,10,40.9,0.2807,0.2919
30,15,46.1,0.2805,0.2923
30,20,50.9,0.2799,0.2904
30,25,56.0,0.2795,0.2903
30,30,61.1,0.2794,0.2898
