Y,pxR,pxG,pxB
1.534999999999999964e+01,3.538958573028752053e-01,4.065415076448719023e-01,4.440450506795802221e-01
1.537947214076246283e+01,3.542117480198073709e-01,4.069117073098358350e-01,4.444665678629827199e-01
1.540894428152492601e+01,3.545273327565701127e-01,4.072815290814494338e-01,4.448876841588350062e-01
1.543841642228738920e+01,3.548426123769315987e-01,4.076509740725084430e-01,4.453084007073349615e-01
1.546788856304985238e+01,3.551575877406258908e-01,4.080200433903988233e-01,4.457287186432870585e-01
1.549736070381231556e+01,3.554722597033790343e-01,4.083887381371337222e-01,4.461486390961382775e-01
1.552683284457478052e+01,3.557866291169353712e-01,4.087570594093893894e-01,4.465681631900130788e-01
1.555630498533724371e+01,3.561006968290831298e-01,4.091250082985415371e-01,4.469872920437488184e-01
1.558577712609970689e+01,3.564144636836804048e-01,4.094925858907007554e-01,4.474060267709301097e-01
1.561524926686217007e+01,3.567279305206799145e-01,4.098597932667480404e-01,4.478243684799236846e-01
1.564472140762463326e+01,3.570410981761548141e-01,4.102266315023699872e-01,4.482423182739123102e-01
1.567419354838709644e+01,3.573539674823234535e-01,4.105931016680930412e-01,4.486598772509286515e-01
1.570366568914955963e+01,3.576665392675739130e-01,4.109592048293186917e-01,4.490770465038890769e-01
1.573313782991202281e+01,3.579788143564891501e-01,4.113249420463569450e-01,4.494938271206266323e-01
1.576260997067448599e+01,3.582907935698708135e-01,4.116903143744607974e-01,4.499102201839243476e-01
1.579208211143694918e+01,3.586024777247636131e-01,4.120553228638593746e-01,4.503262267715480438e-01
1.582155425219941236e+01,3.589138676344795220e-01,4.124199685597917386e-01,4.507418479562784186e-01
1.585102639296187732e+01,3.592249641086210366e-01,4.127842525025391951e-01,4.511570848059438532e-01
1.588049853372434050e+01,3.595357679531053785e-01,4.131481757274588218e-01,4.515719383834516654e-01
1.590997067448680369e+01,3.598462799701873660e-01,4.135117392650153878e-01,4.519864097468204722e-01
1.593944281524926687e+01,3.601565009584828947e-01,4.138749441408138274e-01,4.524004999492111656e-01
1.596891495601173006e+01,3.604664317129918083e-01,4.142377913756311036e-01,4.528142100389582203e-01
1.599838709677419324e+01,3.607760730251210468e-01,4.146002819854476829e-01,4.532275410596006693e-01
1.602785923753665642e+01,3.610854256827068509e-01,4.149624169814792873e-01,4.536404940499125793e-01
1.605733137829912138e+01,3.613944904700372995e-01,4.153241973702076484e-01,4.540530700439336376e-01
1.608680351906158279e+01,3.617032681678749584e-01,4.156856241534115926e-01,4.544652700709990167e-01
1.611627565982404775e+01,3.620117595534784738e-01,4.160466983281976283e-01,4.548770951557697950e-01
1.614574780058650916e+01,3.623199654006247772e-01,4.164074208870301996e-01,4.552885463182620440e-01
1.617521994134897412e+01,3.626278864796312340e-01,4.167677928177619395e-01,4.556996245738766937e-01
1.620469208211143552e+01,3.629355235573758498e-01,4.171278151036633686e-01,4.561103309334282874e-01
1.623416422287390048e+01,3.632428773973205849e-01,4.174874887234526488e-01,4.565206664031745132e-01
1.626363636363636189e+01,3.635499487595307833e-01,4.178468146513245607e-01,4.569306319848441822e-01
1.629310850439882685e+01,3.638567384006977656e-01,4.182057938569804789e-01,4.573402286756664270e-01
1.632258064516128826e+01,3.641632470741581473e-01,4.185644273056560172e-01,4.577494574683982909e-01
1.635205278592375322e+01,3.644694755299161537e-01,4.189227159581508930e-01,4.581583193513533159e-01
1.638152492668621818e+01,3.647754245146631602e-01,4.192806607708564615e-01,4.585668153084290211e-01
1.641099706744867959e+01,3.650810947717983423e-01,4.196382626957841366e-01,4.589749463191344914e-01
1.644046920821114455e+01,3.653864870414487709e-01,4.199955226805936470e-01,4.593827133586178557e-01
1.646994134897360595e+01,3.656916020604901729e-01,4.203524416686202358e-01,4.597901173976932099e-01
1.649941348973607091e+01,3.659964405625655282e-01,4.207090205989026943e-01,4.601971594028678170e-01
1.652888563049853232e+01,3.663010032781064407e-01,4.210652604062099513e-01,4.606038403363685307e-01
1.655835777126099728e+01,3.666052909343515687e-01,4.214211620210686626e-01,4.610101611561686075e-01
1.658782991202345869e+01,3.669093042553663309e-01,4.217767263697899671e-01,4.614161228160134631e-01
1.661730205278592365e+01,3.672130439620628906e-01,4.221319543744957992e-01,4.618217262654473743e-01
1.664677419354838861e+01,3.675165107722179192e-01,4.224868469531454229e-01,4.622269724498387911e-01
1.667624633431085002e+01,3.678197054004930244e-01,4.228414050195618001e-01,4.626318623104064831e-01
1.670571847507331498e+01,3.681226285584532354e-01,4.231956294834572918e-01,4.630363967842444639e-01
1.673519061583577638e+01,3.684252809545846552e-01,4.235495212504594709e-01,4.634405768043477480e-01
1.676466275659824134e+01,3.687276632943147225e-01,4.239030812221367683e-01,4.638444032996372202e-01
1.679413489736070275e+01,3.690297762800291981e-01,4.242563102960237864e-01,4.642478771949841154e-01
1.682360703812316771e+01,3.693316206110913713e-01,4.246092093656463895e-01,4.646509994112356101e-01
1.685307917888562912e+01,3.696331969838596576e-01,4.249617793205465177e-01,4.650537708652381919e-01
1.688255131964809408e+01,3.699345060917059169e-01,4.253140210463072779e-01,4.654561924698627506e-01
1.691202346041055549e+01,3.702355486250332173e-01,4.256659354245771465e-01,4.658582651340283376e-01
1.694149560117302045e+01,3.705363252712932653e-01,4.260175233330946165e-01,4.662599897627262568e-01
1.697096774193548185e+01,3.708368367150047251e-01,4.263687856457119008e-01,4.666613672570433247e-01
1.700043988269794681e+01,3.711370836377694271e-01,4.267197232324195788e-01,4.670623985141860723e-01
1.702991202346041177e+01,3.714370667182916308e-01,4.270703369593696896e-01,4.674630844275036723e-01
1.705938416422287318e+01,3.717367866323929015e-01,4.274206276888996570e-01,4.678634258865110307e-01
1.708885630498533814e+01,3.720362440530311510e-01,4.277705962795558814e-01,4.682634237769122132e-01
1.711832844574779955e+01,3.723354396503162356e-01,4.281202435861162225e-01,4.686630789806229269e-01
1.714780058651026451e+01,3.726343740915275538e-01,4.284695704596141463e-01,4.690623923757932245e-01
1.717727272727272592e+01,3.729330480411301996e-01,4.288185777473605964e-01,4.694613648368299308e-01
