Y,pxR,pxG,pxB
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.931118710307767383e-02,1.726753060607049209e-02,2.134797814954204898e-02,1.961128358599218552e-02
5.862237420615534766e-02,2.412967873426914364e-02,2.965570986129146061e-02,2.770858930992452229e-02
8.793356130923302150e-02,2.934668522596120890e-02,3.594286089367255271e-02,3.391737228483410194e-02
1.172447484123106953e-01,3.371885703299987158e-02,4.119645997464006087e-02,3.914919276851711039e-02
1.465559355153883692e-01,3.755397007600220355e-02,4.579474456912188685e-02,4.375693779603885558e-02
1.758671226184660430e-01,4.100911141105614832e-02,4.993030472398052311e-02,4.792152104636130533e-02
2.051783097215437168e-01,4.417725387829048167e-02,5.371691771829713302e-02,5.175038247308644951e-02
2.344894968246213907e-01,4.711879226129787879e-02,5.722838274248654572e-02,5.531350864829311792e-02
2.638006839276990645e-01,4.987557013212307738e-02,6.051576595086636395e-02,5.865950271249577297e-02
2.931118710307767383e-01,5.247798621603270985e-02,6.361612554596719760e-02,6.182374618846316061e-02
3.224230581338544122e-01,5.494894425706787350e-02,6.655735580880119129e-02,6.483294517880487662e-02
3.517342452369320860e-01,5.730620701368606407e-02,6.936107109571876261e-02,6.770784482097688683e-02
3.810454323400097598e-01,5.956387784056606932e-02,7.204441937856806422e-02,7.046494058108268566e-02
4.103566194430874337e-01,6.173337507047144818e-02,7.462127398377813026e-02,7.311760539746040011e-02
4.396678065461651075e-01,6.382409644712946917e-02,7.710304564577812048e-02,7.567685933278969768e-02
4.689789936492427813e-01,6.584388616703422403e-02,7.949925292941745214e-02,7.815191125588789867e-02
4.982901807523204551e-01,6.779937176481223848e-02,8.181793342912460631e-02,8.055055002023077393e-02
5.276013678553981290e-01,6.969621258719814472e-02,8.406594687802843024e-02,8.287943329450953023e-02
5.569125549584758028e-01,7.153928664842157392e-02,8.624920296596873259e-02,8.514430498631574140e-02
5.862237420615534766e-01,7.333283356504417816e-02,8.837283551984362329e-02,8.735016171816117891e-02
6.155349291646311505e-01,7.508056555914187358e-02,9.044133770705711783e-02,8.950138222854243930e-02
6.448461162677088243e-01,7.678575483423112635e-02,9.245866841225389154e-02,9.160182931603196022e-02
6.741573033707864981e-01,7.845130319141593866e-02,9.442833695566676955e-02,9.365493112781408946e-02
7.034684904738641720e-01,8.007979810579528290e-02,9.635347130646984559e-02,9.566374668839058848e-02
7.327796775769418458e-01,8.167355834733366904e-02,9.823687355592061743e-02,9.763101924924540154e-02
7.620908646800195196e-01,8.323467143326428175e-02,1.000810654409373529e-01,9.955922011673226657e-02
7.914020517830971935e-01,8.476502463057473957e-02,1.018883260142692121e-01,1.014505849563083206e-01
8.207132388861748673e-01,8.626633081564868966e-02,1.036607230549527608e-01,1.033071440938449354e-01
8.500244259892525411e-01,8.774015019628837730e-02,1.054001394442863199e-01,1.051307479843107684e-01
8.793356130923302150e-01,8.918790867715782611e-02,1.071082954589851061e-01,1.069230887576862743e-01
9.086468001954078888e-01,9.061091348126856793e-02,1.087867677277331024e-01,1.086857185561995731e-01
9.379579872984855626e-01,9.201036651226641994e-02,1.104370054414171159e-01,1.104200652282550932e-01
9.672691744015632365e-01,9.338737584424222637e-02,1.120603442878138900e-01,1.121274458303395116e-01
9.965803615046409103e-01,9.474296564993846259e-02,1.136580184890543660e-01,1.138090782998683187e-01
1.025891548607718473e+00,9.607808481903201692e-02,1.152311712480708628e-01,1.154660915929791865e-01
1.055202735710796258e+00,9.739361447161352936e-02,1.167808638535182131e-01,1.170995345270086224e-01
1.084513922813874043e+00,9.869037453508691660e-02,1.183080836477284625e-01,1.187103835243588368e-01
1.113825109916951606e+00,9.996912952326493518e-02,1.198137510264069977e-01,1.202995494201060528e-01
1.143136297020029168e+00,1.012305936327791700e-01,1.212987256099860578e-01,1.218678834680866074e-01
1.172447484123106953e+00,1.024754352528014917e-01,1.227638117032799348e-01,1.234161826578659138e-01
1.201758671226184738e+00,1.037042809685222305e-01,1.242097631411693409e-01,1.249451944368273476e-01
1.231069858329262301e+00,1.049177191261166098e-01,1.256372876025779739e-01,1.264556209167576606e-01
1.260381045432339864e+00,1.061163030164785359e-01,1.270470504622938090e-01,1.279481226320838827e-01
1.289692232535417649e+00,1.073005537263668624e-01,1.284396782396919345e-01,1.294233219068165464e-01
1.319003419638495433e+00,1.084709626984431685e-01,1.298157616947035464e-01,1.308818058788675243e-01
1.348314606741572996e+00,1.096279940357027249e-01,1.311758586141138494e-01,1.323241292234149658e-01
1.377625793844650559e+00,1.107720865807976657e-01,1.325204963251924994e-01,1.337508166111268104e-01
1.406936980947728344e+00,1.119036557965424755e-01,1.338501739685469261e-01,1.351623649321249121e-01
1.436248168050806129e+00,1.130230954703404650e-01,1.351653645577768070e-01,1.365592453124093442e-01
1.465559355153883692e+00,1.141307792622598405e-01,1.364665168498522263e-01,1.379419049459333357e-01
1.494870542256961254e+00,1.152270621139297735e-01,1.377540570470310310e-01,1.393107687625177726e-01
1.524181729360039039e+00,1.163122815332404136e-01,1.390283903484803851e-01,1.406662409492327459e-01
