ID,Session_Type,Ref_Contrast,Orientation,DP_Monocular_Corrected_Log10_AR,DP_Monocular_Corrected_AR_Contrast,DP_Binocular_Corrected_Log10_AR,DP_Binocular_Corrected_AR_Contrast,Dominance,Spatial_Freq_cpd,Dominant_Eye,Dominant_PD_Mean_mm,Dominant_PD_SD_mm,Dominant_Trial_Count,Non_Dominant_Eye,Non_Dominant_PD_Mean_mm,Non_Dominant_PD_SD_mm,Non_Dominant_Trial_Count,Session_Timestamp,Session_Dir,Source_CSV,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,DP_Monocular_to_Binocular_Ratio,DP_Monocular_Minus_Binocular_AR,Participant_Aggregation
0,experiment,0.1,0.0,-0.8809863942255374,0.13152660367976132,-0.955343383240211,0.11082981715893109,Right,4.0,Right,2.61,0.3754996671103719,10,Left,2.549999999999999,0.21213203435596437,10,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\defocus_matching.csv,0.06000000000000094,0.07435698901467358,1.1867438479227195,0.020696786520830235,median_of_log10_trials
1,experiment,0.1,0.0,-0.9307441384648477,0.11728861596598959,-0.8637198929860175,0.13686112545172946,Right,4.0,Right,3.249999999999999,0.20682789409984786,10,Left,2.729999999999999,0.23118054512533007,10,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\defocus_matching.csv,0.52,-0.06702424547883024,0.8569900004757521,-0.019572509485739867,median_of_log10_trials
2,experiment,0.1,0.0,-0.8762357920732196,0.13297322686707375,-0.9652225906353088,0.10833715071003207,Left,4.0,Left,1.8400000000000005,0.30258148581093935,10,Right,2.120000000000001,0.26583202716502535,10,20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\defocus_matching.csv,-0.28000000000000047,0.08898679856208924,1.2274019207222917,0.024636076157041678,median_of_log10_trials
3,experiment,0.1,0.0,-0.9259627419633117,0.1185870479394449,-0.9767143122446189,0.10550807217473884,Left,4.0,Left,3.1999999999999993,0.33333333333333387,10,Right,3.4099999999999993,0.1449137674618947,10,20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234\defocus_matching.csv,-0.20999999999999996,0.05075157028130717,1.12396184950707,0.013078975764706055,median_of_log10_trials
4,experiment,0.1,0.0,-0.9541332863308639,0.11113905856988862,-1.055909395361212,0.08792059219380889,Right,4.0,Right,3.65,0.36285901761795447,10,Left,4.12,0.32249030993194094,10,20260818_132449,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\4_20260818_132449,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\4_20260818_132449\defocus_matching.csv,-0.4700000000000002,0.10177610903034806,1.2640845084948678,0.02321846637607973,median_of_log10_trials
5,experiment,0.1,0.0,-0.7628979266578204,0.17262435677530016,-0.758977025090335,0.1741899020346646,Right,4.0,Right,1.1399999999999992,0.2503331114069141,10,Left,2.3499999999999988,0.3274480450731423,10,20260818_160423,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\5_20260818_160423,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\5_20260818_160423\defocus_matching.csv,-1.2099999999999995,-0.003920901567485369,0.9910124224132527,-0.001565545259364448,median_of_log10_trials
6,experiment,0.1,0.0,-0.9307007384739224,0.11730033745781776,-0.9598738817806622,0.10967966573816156,Right,4.0,Right,2.2499999999999996,0.3308238873546545,10,Left,2.9299999999999993,0.48773854562551117,10,20260821_162308,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\6_20260821_162308,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\6_20260821_162308\defocus_matching.csv,-0.6799999999999997,0.029173143306739813,1.0694811719963575,0.007620671719656205,median_of_log10_trials
7,experiment,0.1,0.0,-0.7680926986315146,0.1705718270571827,-0.5898789470967152,0.25711123408965136,Right,4.0,Right,1.8599999999999983,0.2118699810942761,10,Left,1.3799999999999986,0.18737959096740286,10,20260907_133506,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\7_20260907_133506,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\7_20260907_133506\defocus_matching.csv,0.47999999999999976,-0.17821375153479946,0.6634164689890856,-0.08653940703246865,median_of_log10_trials
8,experiment,0.1,0.0,-0.9004570046347249,0.12576013513513512,-0.9212539188003107,0.1198798197295944,Right,4.0,Right,1.479999999999999,0.27808871486152403,10,Left,1.8499999999999979,0.24152294576982425,10,20260908_142528,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\8_20260908_142528,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\8_20260908_142528\defocus_matching.csv,-0.3699999999999988,0.020796914165585823,1.0490517538214905,0.005880315405540723,median_of_log10_trials
9,experiment,0.1,0.0,-0.9816771679971504,0.10430925221799747,-0.7737495112266223,0.16836448598130843,Right,4.0,Right,1.709999999999998,0.25144029554194836,10,Left,2.3299999999999987,0.21628170930011126,10,20260909_132329,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\9_20260909_132329,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\9_20260909_132329\defocus_matching.csv,-0.6200000000000008,-0.20792765677052816,0.6195442679614614,-0.06405523376331096,median_of_log10_trials
