ID,Session_Type,Ref_Contrast,Orientation,Ocularity,Condition,Trial_Count,Mean_Log10_AR,Geometric_Mean_AR,Participant_Aggregation,Session_Timestamp,Session_Dir,Source_CSV
0,experiment,0.1,0.0,binocular,Dual plane,5,-0.9208061158825311,0.12000349207855715,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,binocular,Dual plane flat,5,-0.9581042253456546,0.11012749853446287,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,binocular,Single plane,5,-0.573143466549007,0.26721235430350976,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,binocular,Single plane + defocus simulation,5,-0.7891558436830952,0.1624965543050402,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,monocular,Dual plane,5,-0.8744760899517386,0.13351310930754404,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,monocular,Dual plane flat,5,-0.9902921005261852,0.1022604970818456,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,monocular,Single plane,5,-0.598842699568641,0.2518588989534424,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.1,0.0,monocular,Single plane + defocus simulation,5,-0.7932424714443591,0.1609746644769946,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.2,0.0,binocular,Dual plane,5,-0.6999220237457823,0.1995620590415742,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
0,experiment,0.2,0.0,binocular,Dual plane flat,5,-0.6657561983230684,0.21589560510537553,mean_of_log10_trials,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\contrast_matching.csv
