Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-02-24 16:20:49,100,255,7.0,2.2,100.0,0.0
2026-02-24 16:20:49,90,244,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,80,232,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,70,217,0.0,2.2,100.0,0.0
2026-02-24 16:20:49,60,204,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,50,188,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,40,170,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,30,148,0.0,2.2,100.0,0.0
2026-02-24 16:20:49,20,125,1.0,2.2,100.0,0.0
2026-02-24 16:20:49,10,90,0.0,2.2,100.0,0.0
2026-02-24 16:20:49,0,0,-0.0,2.2,100.0,0.0
