ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,checker_45,2,3.6999999999999997
0,Right,border,2,3.9999999999999996
0,Right,noise,2,4.200000000000006
0,Right,border,4,4.499999999999998
0,Right,stripe,2,2.3999999999999986
0,Right,noise,4,2.2999999999999985
0,Right,checker_45,4,2.1999999999999984
0,Right,checker,2,2.699999999999999
0,Right,checker,4,1.5999999999999979
0,Right,stripe,4,2.5000000000000013
0,Left,checker,2,2.000000000000001
0,Left,checker_45,4,1.9000000000000008
0,Left,noise,4,2.8999999999999986
0,Left,checker,4,1.3000000000000003
0,Left,border,4,1.3999999999999977
0,Left,stripe,4,2.4000000000000012
0,Left,noise,2,3.7000000000000024
0,Left,checker_45,2,2.100000000000001
0,Left,border,2,2.0999999999999983
0,Left,stripe,2,1.799999999999998
