ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,checker,4,2.9000000000000017
0,Right,noise,2,3.500000000000002
0,Right,border,4,4.299999999999999
0,Right,border,2,4.599999999999998
0,Right,checker_45,4,3.1999999999999993
0,Right,noise,4,2.3999999999999986
0,Right,stripe,4,3.6999999999999997
0,Right,checker_45,2,2.799999999999999
0,Right,stripe,2,4.0
0,Right,checker,2,3.399999999999999
0,Left,noise,4,2.7999999999999985
0,Left,checker,4,2.999999999999999
0,Left,checker_45,2,2.299999999999998
0,Left,stripe,2,2.3999999999999986
0,Left,checker_45,4,2.799999999999999
0,Left,stripe,4,2.0999999999999983
0,Left,noise,2,2.899999999999999
0,Left,border,2,3.2999999999999994
0,Left,checker,2,1.5999999999999979
0,Left,border,4,2.899999999999999
