ID,Age,Gender,IPD(mm),Dominance,Block_ID,Condition,Ocularity,Trial_ID,Orientation,Ref_Contrast,Matched_Contrast,PD_Right,OffsetX_Right,OffsetY_Right,PD_Left,OffsetX_Left,OffsetY_Left
1,39,Male,6.8,Right,1,Single plane,binocular,1,0,0.3,0.9545,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,2,0,0.3,0.9545,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,3,0,0.2,0.7353,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,4,0,0.2,0.6919,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,5,0,0.3,0.8301,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,6,0,0.2,0.7561,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,7,0,0.1,0.6014,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,8,0,0.3,1.0,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,9,0,0.2,0.977,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,10,0,0.1,0.6855,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,11,0,0.1,0.6791,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,12,0,0.1,0.5553,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,13,0,0.2,0.977,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,14,0,0.3,1.0,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,1,Single plane,binocular,15,0,0.1,0.6573,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,16,0,0.2,0.4329,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,17,0,0.2,0.4268,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,18,0,0.1,0.2643,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,19,0,0.2,0.437,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,20,0,0.1,0.2495,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,21,0,0.3,0.593,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,22,0,0.3,0.5299,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,23,0,0.3,0.582,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,24,0,0.3,0.5605,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,25,0,0.2,0.4778,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,26,0,0.1,0.2921,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,27,0,0.1,0.3275,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,28,0,0.1,0.3168,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,29,0,0.2,0.3902,3.85,-180,-112,4.0,0,0
1,39,Male,6.8,Right,2,Dual plane,binocular,30,0,0.3,0.5685,3.85,-180,-112,4.0,0,0
