ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
1,Right,noise,2,1.7000000000000006
1,Right,border,4,3.200000000000002
1,Right,checker_45,2,2.4000000000000012
1,Right,stripe,2,2.1999999999999984
1,Right,checker_45,4,1.8999999999999981
1,Right,checker,4,1.9999999999999982
1,Right,stripe,4,2.4999999999999987
1,Right,border,2,1.9999999999999982
1,Right,checker,2,2.100000000000001
1,Right,noise,4,2.3999999999999986
1,Left,checker,2,2.699999999999999
1,Left,border,4,2.000000000000001
1,Left,stripe,4,2.200000000000001
1,Left,checker_45,4,1.9999999999999982
1,Left,checker_45,2,2.4999999999999987
1,Left,stripe,2,2.7000000000000015
1,Left,border,2,1.4999999999999978
1,Left,noise,4,2.5999999999999988
1,Left,checker,4,1.799999999999998
1,Left,noise,2,1.6000000000000005
