"LineNumber","Type","Current Code","Replacement Code","Status"
"39","DEFINITION","PIXELS_PER_CM = 1/0.02331","(REMOVE - import from stimuli_utils)","TO DO"
"362-378","METHOD_DEF","@staticmethod def create_gabor_image(...)","(REMOVE - use stimuli_utils.create_gabor_image)","TO DO"
"380-390","METHOD_DEF","@staticmethod def create_checkerboard_image(...)","(REMOVE - use stimuli_utils.create_checkerboard_image)","TO DO"
"420-441","METHOD_DEF","def _create_noise_base(...)","(REMOVE - use stimuli_utils.create_noise_base)","TO DO"
"442-451","METHOD_DEF","def _create_gabor_base(...)","(REMOVE - use stimuli_utils.create_gabor_base)","TO DO"
"452-461","METHOD_DEF","def get_size_for_visual_angle(...)","(REMOVE - use stimuli_utils.get_size_for_visual_angle)","TO DO"
"462-490","METHOD_DEF","def draw_image_corner_brackets(...)","(REMOVE - use stimuli_utils.draw_image_corner_brackets)","TO DO"
"491-509","METHOD_DEF","def draw_center_cross(...)","(REMOVE - use stimuli_utils.draw_center_cross)","TO DO"
"520","CALL","fg_marker_size = self.get_size_for_visual_angle(d_fg, VISUAL_ANGLE_DEG)","fg_marker_size = stimuli_utils.get_size_for_visual_angle(d_fg, VISUAL_ANGLE_DEG)","TO DO"
"524","CALL","bg_marker_h = self.get_size_for_visual_angle(d_bg, VISUAL_ANGLE_DEG)","bg_marker_h = stimuli_utils.get_size_for_visual_angle(d_bg, VISUAL_ANGLE_DEG)","TO DO"
"525","CALL","bg_marker_w = self.get_size_for_visual_angle(d_bg, VISUAL_ANGLE_DEG * 2)","bg_marker_w = stimuli_utils.get_size_for_visual_angle(d_bg, VISUAL_ANGLE_DEG * 2)","TO DO"
"529","CALL","self.draw_image_corner_brackets(self.canvas1, bg_marker_w, bg_marker_h, ...)","stimuli_utils.draw_image_corner_brackets(self.canvas1, bg_marker_w, bg_marker_h, ...)","TO DO"
"531","CALL","self.draw_image_corner_brackets(self.canvas1, bg_marker_h, bg_marker_h, ...)","stimuli_utils.draw_image_corner_brackets(self.canvas1, bg_marker_h, bg_marker_h, ...)","TO DO"
"535","CALL","self.draw_image_corner_brackets(self.canvas2, fg_marker_size, fg_marker_size, ...)","stimuli_utils.draw_image_corner_brackets(self.canvas2, fg_marker_size, fg_marker_size, ...)","TO DO"
"536","CALL","self.draw_center_cross(self.canvas2, color=WIN2_MARKER_COLOR)","stimuli_utils.draw_center_cross(self.canvas2, color=WIN2_MARKER_COLOR)","TO DO"
"666","CONSTANT","ppd_fg = PIXELS_PER_CM * d_fg * math.tan(math.radians(1.0))","ppd_fg = stimuli_utils.PIXELS_PER_CM * d_fg * math.tan(math.radians(1.0))","TO DO"
"667","CONSTANT","ppd_bg = PIXELS_PER_CM * d_bg * math.tan(math.radians(1.0))","ppd_bg = stimuli_utils.PIXELS_PER_CM * d_bg * math.tan(math.radians(1.0))","TO DO"
"680","CALL","self.gabor_base = self._create_gabor_base(width_fg, height_fg, ppd_fg, self.spatial_freq, orientation=ori)","self.gabor_base = stimuli_utils.create_gabor_base(width_fg, height_fg, ppd_fg, self.spatial_freq, orientation=ori)","TO DO"
"683","CALL","self.noise_base = self._create_noise_base(width_bg, height_bg, ppd_bg, self.spatial_freq)","self.noise_base = stimuli_utils.create_noise_base(width_bg, height_bg, ppd_bg, self.spatial_freq)","TO DO"
"685","CALL","self.noise_base = self._create_noise_base(width_fg, height_fg, ppd_fg, self.spatial_freq)","self.noise_base = stimuli_utils.create_noise_base(width_fg, height_fg, ppd_fg, self.spatial_freq)","TO DO"
"759","CONSTANT","ppd_fg = PIXELS_PER_CM * d_fg * math.tan(math.radians(1.0))","ppd_fg = stimuli_utils.PIXELS_PER_CM * d_fg * math.tan(math.radians(1.0))","TO DO"
"760","CONSTANT","ppd_bg = PIXELS_PER_CM * d_bg * math.tan(math.radians(1.0))","ppd_bg = stimuli_utils.PIXELS_PER_CM * d_bg * math.tan(math.radians(1.0))","TO DO"
